date,rainfall_mm,notes
2010-10-29,15,
2010-11-04,3,
2010-11-05,4,
2010-11-10,4,
2010-11-14,4,
2010-11-16,6.5,
2010-11-19,5.9,
2010-11-23,28,
2010-11-24,1,
2010-12-02,34,
2010-12-09,2,
2010-12-12,19,
2010-12-13,1,
2010-12-14,7,
2010-12-15,9,
2010-12-16,90,
2010-12-17,24.5,
2010-12-19,3,
2010-12-20,12,
2010-12-28,20,
2010-12-29,7.5,
2010-12-31,50,
2011-01-01,32,
2011-01-02,10,
2011-01-03,26,
2011-01-05,15,
2011-01-06,27,
2011-01-09,8,
2011-01-10,4,
2011-01-17,15,
2011-01-18,60,
2011-01-19,3.5,
2011-01-22,5,
2011-01-24,12,
2011-01-27,39,
2011-02-03,32,
2011-02-08,28,
2011-02-13,28,
2011-02-20,6,
2011-02-23,18,
2011-02-26,10.5,
2011-03-14,36,
2011-03-16,6,
2011-03-17,50,
2011-03-20,40,
2011-03-28,53,
2011-04-04,3,
2011-04-05,2,
2011-04-07,4,
2011-04-11,3.2,
2011-04-17,22.5,
2011-04-27,7.5,
2011-04-16,8,
2011-04-30,14,
2011-05-08,11,
2011-06-09,15,
2011-08-15,10,
2011-09-14,5,
2011-09-24,5,
2011-10-01,25,
2011-10-02,11.5,
2011-10-19,8,
2011-10-29,24,
2011-10-30,12,
2011-10-31,7,
2011-11-05,13,
2011-11-13,10,
2011-11-20,44,
2011-11-22,70,
2011-11-23,8,
2011-11-27,5,
2011-12-08,12,
2011-12-09,34,
2011-12-13,8,
2011-12-22,3,
2011-12-23,18,
2011-12-26,60,
2011-12-27,4,
2012-01-02,14,
2012-01-04,1,
2012-01-07,15,
2012-01-09,7,
2012-01-11,8,
2012-01-28,32,
2012-01-29,3,
2012-02-06,3,
2012-02-12,13,
2012-02-18,20,
2012-02-19,5,
2012-02-22,19,
2012-02-23,7,
2012-02-26,26,
2012-03-08,17,
2012-03-11,1.5,
2012-03-12,2,
2012-03-29,26,
2012-03-30,7,
2012-03-31,17,
2012-04-19,2.2,
2012-04-22,5,
2012-04-24,6,
2012-04-28,3,
2012-09-06,22,
2012-09-07,38,
2012-09-08,4,
2012-09-16,18,
2012-09-12,2,
2012-10-12,20,
2012-10-13,37,
2012-10-17,20,
2012-10-18,2.8,
2012-10-20,3.5,
2012-10-22,12,
2012-10-24,19.5,
2012-10-26,2.5,
2012-10-28,5.6,
2012-10-30,3.9,
2012-10-31,1,
2012-11-01,3,
2012-11-09,3.5,
2012-11-13,2.2,
2012-11-17,6,
2012-11-22,1,
2012-11-23,48,
2012-11-24,50,
2012-11-25,32,
2012-12-03,13.8,
2012-12-04,21.8,
2012-12-06,1,
2012-12-10,4.2,
2012-12-11,9,
2012-12-12,9,
2012-12-15,24,
2012-12-16,8,
2012-12-19,6,
2012-12-21,11,
2012-12-22,7,
2012-12-26,20,
2012-12-27,4,
2012-12-31,0.3,
2013-01-12,1.8,
2013-01-15,21,
2013-01-19,14,
2013-01-20,9,
2013-01-26,1.5,
2013-01-28,4.2,
2013-01-29,5,
2013-02-01,2,
2013-02-05,2.5,
2013-02-06,21,
2013-02-07,5,
2013-02-08,6,
2013-02-10,18.9,
2013-02-12,1.3,
2013-02-13,7,
2013-02-16,6,
2013-02-19,14,
2013-03-01,5,
2013-03-08,3.3,
2013-03-14,3.8,
2013-03-16,3,
2013-03-26,26,
2013-04-03,10,
2013-04-04,18,
2013-04-13,5.5,
2013-04-20,55,
2013-05-19,1.8,
2013-08-09,4,
2013-09-13,4.2,
2013-10-08,10,
2013-10-11,4.5,
2013-10-21,48,
2013-10-22,20,
2013-10-25,2.8,
2013-10-26,1.2,
2013-10-29,8,
2013-10-30,2.8,
2013-10-31,1.7,
2013-11-12,14,
2013-11-14,19,
2013-11-21,20,
2013-11-24,4,
2013-11-27,10,
2013-11-28,1.9,
2013-11-29,14,
2013-12-01,6,
2013-12-03,75,
2013-12-04,4,
2013-12-10,5,
2013-12-11,32,
2013-12-12,12.2,
2013-12-13,2.2,
2013-12-15,5.1,
2013-12-18,28,
2013-12-19,36,
2013-12-20,12.2,
2013-12-28,5,
